,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,金子 侑司,左,西武,1,1,1,0,1,0,0,161,ストレート,12.0,8.8,ボール,1,1,1,B1
1,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,金子 侑司,左,西武,1,1,1,0,2,1,0,161,ストレート,69.0,54.4,見逃し,3,4,14,S6
2,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,金子 侑司,左,西武,1,1,1,0,3,1,1,144,カットボール,73.5,86.4,ボール,5,4,24,B18
3,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,金子 侑司,左,西武,1,1,1,0,4,2,1,160,ストレート,52.0,92.0,ボール,5,3,23,B17
4,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,金子 侑司,左,西武,1,1,1,0,5,3,1,158,ストレート,52.5,85.2,四球,5,3,23,B17
5,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,源田 壮亮,左,西武,1,1,2,2,1,0,0,132,スライダー,52.0,94.8,ボール,5,3,23,B17
6,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,源田 壮亮,左,西武,1,1,2,2,2,1,0,152,ストレート,49.5,24.8,見逃し,2,3,8,S2
7,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,源田 壮亮,左,西武,1,1,2,2,3,1,1,155,ストレート,9.0,9.2,ボール,1,1,1,B1
8,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,源田 壮亮,左,西武,1,1,2,2,4,2,1,143,カットボール,51.5,85.2,二併打,5,3,23,B17
9,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,秋山 翔吾,左,西武,1,1,3,3,1,0,0,158,ストレート,29.5,65.2,見逃し,4,2,17,S7
10,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,秋山 翔吾,左,西武,1,1,3,3,2,0,1,158,ストレート,72.0,87.6,ボール,5,4,24,B18
11,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,秋山 翔吾,左,西武,1,1,3,3,3,1,1,135,カットボール,29.5,26.4,見逃し,2,2,7,S1
12,2019-03-29,2019032906,ソフトバンク,西武,千賀 滉大,右,ソフトバンク,秋山 翔吾,左,西武,1,1,3,3,4,1,2,143,フォーク,13.0,87.6,二ゴロ,5,1,21,B15
13,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,牧原 大成,左,ソフトバンク,1,2,1,0,1,0,0,145,ストレート,28.0,16.0,三安,1,2,2,B2
14,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,今宮 健太,右,ソフトバンク,1,2,2,0,1,0,0,144,ストレート,88.5,69.2,ボール,4,5,20,B11
15,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,今宮 健太,右,ソフトバンク,1,2,2,0,2,1,0,143,ストレート,71.5,26.0,見逃し,2,4,9,S3
16,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,今宮 健太,右,ソフトバンク,1,2,2,0,3,1,1,146,ストレート,31.5,30.8,右安,2,2,7,S1
17,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,柳田 悠岐,左,ソフトバンク,1,2,3,1,1,0,0,147,ストレート,14.0,44.8,ボール,3,1,11,B8
18,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,柳田 悠岐,左,ソフトバンク,1,2,3,1,2,1,0,143,ストレート,35.0,54.8,見逃し,3,2,12,S4
19,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,柳田 悠岐,左,ソフトバンク,1,2,3,1,3,1,1,122,スライダー,32.0,45.2,見逃し,3,2,12,S4
20,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,柳田 悠岐,左,ソフトバンク,1,2,3,1,4,1,2,146,ストレート,7.5,11.6,ボール,1,1,1,B1
21,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,柳田 悠岐,左,ソフトバンク,1,2,3,1,5,2,2,145,ストレート,30.5,28.0,ファウル,2,2,7,S1
22,2019-03-29,2019032906,ソフトバンク,西武,多和田 真三郎,右,西武,柳田 悠岐,左,ソフトバンク,1,2,3,1,6,2,3,136,フォーク,31.5,34.4,三ゴロ,2,2,7,S1
