,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,吉川 尚輝,左,巨人,1,1,1,0,1,0,0,138,カットボール,29.0,54.4,見逃し,3,2,12,S4
1,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,吉川 尚輝,左,巨人,1,1,1,0,2,0,1,140,フォーク,49.5,84.0,ファウル,5,3,23,B17
2,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,吉川 尚輝,左,巨人,1,1,1,0,3,0,2,142,カットボール,84.5,50.8,ファウル,3,5,15,B9
3,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,吉川 尚輝,左,巨人,1,1,1,0,4,0,3,146,ストレート,29.0,67.2,二安,4,2,17,S7
4,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,坂本 勇人,右,巨人,1,1,2,1,1,0,0,143,ストレート,69.5,46.8,ファウル,3,4,14,S6
5,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,坂本 勇人,右,巨人,1,1,2,1,2,0,1,138,カットボール,51.5,74.8,見逃し,4,3,18,S8
6,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,坂本 勇人,右,巨人,1,1,2,1,3,0,2,141,カットボール,76.5,98.4,ボール,5,4,24,B18
7,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,坂本 勇人,右,巨人,1,1,2,1,4,1,2,0,ストレート,28.5,91.2,ボール,5,2,22,B16
8,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,坂本 勇人,右,巨人,1,1,2,1,5,2,2,146,ストレート,34.5,48.0,ファウル,3,2,12,S4
9,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,坂本 勇人,右,巨人,1,1,2,1,6,2,3,140,カットボール,75.5,76.4,空三振,4,4,19,S9
10,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,丸 佳浩,左,巨人,1,1,3,2,1,0,0,0,カットボール,67.0,92.0,ボール,5,4,24,B18
11,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,丸 佳浩,左,巨人,1,1,3,2,2,1,0,0,ストレート,70.0,44.8,ファウル,3,4,14,S6
12,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,丸 佳浩,左,巨人,1,1,3,2,3,1,1,138,カットボール,24.5,56.0,見逃し,3,2,12,S4
13,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,丸 佳浩,左,巨人,1,1,3,2,4,1,2,138,カットボール,84.5,84.0,空三振,5,5,25,B19
14,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,1,1,4,3,1,0,0,130,スライダー,71.0,83.6,空振り,5,4,24,B18
15,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,1,1,4,3,2,0,1,0,カットボール,90.0,87.6,空振り,5,5,25,B19
16,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,1,1,4,3,3,0,2,146,ストレート,68.5,14.8,ボール,1,4,4,B4
17,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,1,1,4,3,4,1,2,0,ストレート,16.5,71.6,ボール,4,1,16,B10
18,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,田中 広輔,左,広島,1,2,1,1,1,0,0,147,ストレート,29.5,13.2,ボール,1,2,2,B2
19,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,田中 広輔,左,広島,1,2,1,1,2,1,0,136,カットボール,88.0,54.0,ボール,3,5,15,B9
20,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,田中 広輔,左,広島,1,2,1,1,3,2,0,0,カットボール,74.5,34.8,見逃し,2,4,9,S3
21,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,田中 広輔,左,広島,1,2,1,1,4,2,1,138,カットボール,84.5,77.2,空振り,4,5,20,B11
22,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,田中 広輔,左,広島,1,2,1,1,5,2,2,139,カットボール,66.5,25.2,見三振,2,4,9,S3
23,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,菊池 涼介,右,広島,1,2,2,2,1,0,0,150,シュート,35.5,51.6,見逃し,3,2,12,S4
24,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,菊池 涼介,右,広島,1,2,2,2,2,0,1,145,ストレート,89.5,13.6,ボール,1,5,5,B5
25,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,菊池 涼介,右,広島,1,2,2,2,3,1,1,0,ストレート,51.0,72.0,遊ゴロ,4,3,18,S8
26,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,西川 龍馬,左,広島,1,2,3,3,1,0,0,139,カットボール,48.5,14.8,中飛,1,3,3,B3
27,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,2,1,1,1,1,0,0,146,ストレート,76.5,56.0,ファウル,3,4,14,S6
28,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,2,1,1,1,2,0,1,140,カットボール,54.5,75.6,ファウル,4,3,18,S8
29,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,2,1,1,1,3,0,2,146,ストレート,75.5,46.0,ファウル,3,4,14,S6
30,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,岡本 和真,右,巨人,2,1,1,1,4,0,3,142,カットボール,73.0,50.4,空三振,3,4,14,S6
31,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,陽 岱鋼,右,巨人,2,1,2,2,1,0,0,119,カーブ,77.0,86.8,ボール,5,4,24,B18
32,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,陽 岱鋼,右,巨人,2,1,2,2,2,1,0,142,カットボール,50.5,69.2,三ゴロ,4,3,18,S8
33,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,1,0,0,144,ストレート,15.0,71.6,ボール,4,1,16,B10
34,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,2,1,0,139,カットボール,25.0,54.8,見逃し,3,2,12,S4
35,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,3,1,1,136,フォーク,56.5,88.8,ボール,5,3,23,B17
36,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,4,2,1,138,カットボール,54.5,47.6,空振り,3,3,13,S5
37,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,5,2,2,140,フォーク,76.0,85.2,ファウル,5,4,24,B18
38,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,6,2,3,148,ストレート,16.5,65.2,ボール,4,1,16,B10
39,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,亀井 善行,左,巨人,2,1,3,2,7,3,3,138,カットボール,17.5,48.0,四球,3,1,11,B8
40,2019-03-29,2019032903,広島,巨人,大瀬良 大地,右,広島,田中 俊太,左,巨人,2,1,4,3,1,0,0,128,スライダー,74.5,49.6,三飛,3,4,14,S6
41,2019-03-29,2019032903,広島,巨人,菅野 智之,右,巨人,鈴木 誠也,右,広島,2,2,1,1,1,0,0,146,ストレート,47.5,52.0,中飛,3,3,13,S5
