,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,福田 周平,左,オリックス,1,1,1,1,1,0,0,0,ストレート,48.0,56.8,見逃し,3,3,13,S5
1,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,福田 周平,左,オリックス,1,1,1,1,2,0,1,0,カーブ,37.0,24.4,見逃し,2,2,7,S1
2,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,福田 周平,左,オリックス,1,1,1,1,3,0,2,0,フォーク,34.5,84.8,ファウル,5,2,22,B16
3,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,福田 周平,左,オリックス,1,1,1,1,4,0,3,0,フォーク,15.0,15.2,ボール,1,1,1,B1
4,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,福田 周平,左,オリックス,1,1,1,1,5,1,3,0,チェンジアップ,26.5,15.6,ボール,1,2,2,B2
5,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,福田 周平,左,オリックス,1,1,1,1,6,2,3,0,カットボール,74.0,56.0,一ゴロ,3,4,14,S6
6,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,西浦 颯大,左,オリックス,1,1,2,1,1,0,0,0,ストレート,56.5,36.0,見逃し,2,3,8,S2
7,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,西浦 颯大,左,オリックス,1,1,2,1,2,0,1,0,チェンジアップ,16.5,93.2,空振り,5,1,21,B15
8,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,西浦 颯大,左,オリックス,1,1,2,1,3,0,2,0,チェンジアップ,16.5,83.6,ボール,5,1,21,B15
9,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,西浦 颯大,左,オリックス,1,1,2,1,4,1,2,0,フォーク,28.0,76.4,二安,4,2,17,S7
10,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,メネセス,右,オリックス,1,1,3,1,1,0,0,141,カットボール,89.5,74.4,ボール,4,5,20,B11
11,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,メネセス,右,オリックス,1,1,3,1,2,1,0,140,フォーク,76.0,93.2,ボール,5,4,24,B18
12,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,メネセス,右,オリックス,1,1,3,1,3,2,0,129,スライダー,75.5,46.0,ファウル,3,4,14,S6
13,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,メネセス,右,オリックス,1,1,3,1,4,2,1,143,ストレート,48.0,76.4,見逃し,4,3,18,S8
14,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,メネセス,右,オリックス,1,1,3,1,5,2,2,140,フォーク,89.5,93.2,ボール,5,5,25,B19
15,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,メネセス,右,オリックス,1,1,3,1,6,3,2,138,フォーク,98.5,93.2,四球,5,5,25,B19
16,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,吉田 正尚,左,オリックス,1,1,4,1,1,0,0,142,ストレート,18.0,93.6,ボール,5,1,21,B15
17,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,吉田 正尚,左,オリックス,1,1,4,1,2,1,0,125,スライダー,27.5,57.2,見逃し,3,2,12,S4
18,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,吉田 正尚,左,オリックス,1,1,4,1,3,1,1,133,チェンジアップ,78.5,91.6,ボール,5,4,24,B18
19,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,吉田 正尚,左,オリックス,1,1,4,1,4,2,1,144,ストレート,14.5,16.8,ボール,1,1,1,B1
20,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,吉田 正尚,左,オリックス,1,1,4,1,5,3,1,132,チェンジアップ,89.0,16.8,四球,1,5,5,B5
21,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,頓宮 裕真,右,オリックス,1,1,5,1,1,0,0,146,ストレート,47.0,65.2,ファウル,4,3,18,S8
22,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,頓宮 裕真,右,オリックス,1,1,5,1,2,0,1,139,フォーク,37.5,92.8,ファウル,5,2,22,B16
23,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,頓宮 裕真,右,オリックス,1,1,5,1,3,0,2,143,ストレート,86.5,56.4,ボール,3,5,15,B9
24,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,頓宮 裕真,右,オリックス,1,1,5,1,4,1,2,140,フォーク,55.0,91.6,右安,5,3,23,B17
25,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,小田 裕也,左,オリックス,1,1,6,2,1,0,0,142,フォーク,18.5,94.0,ボール,5,1,21,B15
26,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,小田 裕也,左,オリックス,1,1,6,2,2,1,0,137,カットボール,68.0,35.6,一ゴロ,2,4,9,S3
27,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,Ｔ－岡田,左,オリックス,1,1,7,2,1,0,0,115,カーブ,14.5,17.6,ボール,1,1,1,B1
28,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,Ｔ－岡田,左,オリックス,1,1,7,2,2,1,0,143,ストレート,16.5,37.2,ボール,2,1,6,B6
29,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,Ｔ－岡田,左,オリックス,1,1,7,2,3,2,0,143,カットボール,56.5,24.0,空振り,2,3,8,S2
30,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,Ｔ－岡田,左,オリックス,1,1,7,2,4,2,1,146,ストレート,37.5,91.6,ボール,5,2,22,B16
31,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,Ｔ－岡田,左,オリックス,1,1,7,2,5,3,1,130,チェンジアップ,7.5,14.8,四球,1,1,1,B1
32,2019-03-29,2019032904,日本ハム,オリックス,上沢 直之,右,日本ハム,若月 健矢,右,オリックス,1,1,8,3,1,0,0,126,スライダー,69.0,74.8,遊ゴロ,4,4,19,S9
33,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,淺間 大基,左,日本ハム,1,2,1,1,1,0,0,133,スライダー,46.5,36.8,見逃し,2,3,8,S2
34,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,淺間 大基,左,日本ハム,1,2,1,1,2,0,1,148,ストレート,16.5,17.2,ボール,1,1,1,B1
35,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,淺間 大基,左,日本ハム,1,2,1,1,3,1,1,150,ストレート,76.0,37.2,ファウル,2,4,9,S3
36,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,淺間 大基,左,日本ハム,1,2,1,1,4,1,2,136,スライダー,76.0,92.4,空三振,5,4,24,B18
37,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,西川 遥輝,左,日本ハム,1,2,2,2,1,0,0,146,ストレート,50.0,36.8,ファウル,2,3,8,S2
38,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,西川 遥輝,左,日本ハム,1,2,2,2,2,0,1,112,カーブ,47.0,78.0,見逃し,4,3,18,S8
39,2019-03-29,2019032904,日本ハム,オリックス,山岡 泰輔,右,オリックス,西川 遥輝,左,日本ハム,1,2,2,2,3,0,2,146,ストレート,56.0,16.8,ボール,1,3,3,B3
