,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,坂口 智隆,左,ヤクルト,1,1,1,1,1,0,0,142,ストレート,54.5,71.6,見逃し,4,3,18,S8
1,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,坂口 智隆,左,ヤクルト,1,1,1,1,2,0,1,142,シュート,89.0,75.6,ボール,4,5,20,B11
2,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,坂口 智隆,左,ヤクルト,1,1,1,1,3,1,1,142,ストレート,37.0,51.6,遊ゴロ,3,2,12,S4
3,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,青木 宣親,左,ヤクルト,1,1,2,2,1,0,0,143,ストレート,67.5,72.4,見逃し,4,4,19,S9
4,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,青木 宣親,左,ヤクルト,1,1,2,2,2,0,1,145,ストレート,32.0,55.6,見逃し,3,2,12,S4
5,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,青木 宣親,左,ヤクルト,1,1,2,2,3,0,2,132,チェンジアップ,76.5,88.8,ボール,5,4,24,B18
6,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,青木 宣親,左,ヤクルト,1,1,2,2,4,1,2,144,ストレート,30.5,30.4,ファウル,2,2,7,S1
7,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,青木 宣親,左,ヤクルト,1,1,2,2,5,1,3,130,スライダー,52.0,91.2,ファウル,5,3,23,B17
8,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,青木 宣親,左,ヤクルト,1,1,2,2,6,1,4,135,カットボール,32.0,86.0,捕ゴロ,5,2,22,B16
9,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,山田 哲人,右,ヤクルト,1,1,3,2,1,0,0,128,スライダー,93.5,12.4,ボール,1,5,5,B5
10,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,山田 哲人,右,ヤクルト,1,1,3,2,2,1,0,126,スライダー,88.0,16.4,ボール,1,5,5,B5
11,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,山田 哲人,右,ヤクルト,1,1,3,2,3,2,0,125,スライダー,35.5,53.2,見逃し,3,2,12,S4
12,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,山田 哲人,右,ヤクルト,1,1,3,2,4,2,1,135,カットボール,51.5,74.8,見逃し,4,3,18,S8
13,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,山田 哲人,右,ヤクルト,1,1,3,2,5,2,2,130,チェンジアップ,76.5,72.0,左２,4,4,19,S9
14,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,バレンティン,右,ヤクルト,1,1,4,3,1,0,0,0,ストレート,15.5,24.4,ボール,2,1,6,B6
15,2019-03-30,2019033002,阪神,ヤクルト,岩貞 祐太,左,阪神,バレンティン,右,ヤクルト,1,1,4,3,2,1,0,134,カットボール,31.5,50.0,中飛,3,2,12,S4
16,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,木浪 聖也,左,阪神,1,2,1,1,1,0,0,128,カットボール,13.0,86.4,ボール,5,1,21,B15
17,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,木浪 聖也,左,阪神,1,2,1,1,2,1,0,124,カットボール,54.0,67.6,見逃し,4,3,18,S8
18,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,木浪 聖也,左,阪神,1,2,1,1,3,1,1,127,カットボール,34.0,69.6,ファウル,4,2,17,S7
19,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,木浪 聖也,左,阪神,1,2,1,1,4,1,2,116,シンカー,33.5,75.2,一ゴロ,4,2,17,S7
20,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,近本 光司,左,阪神,1,2,2,2,1,0,0,128,シュート,35.0,67.6,見逃し,4,2,17,S7
21,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,近本 光司,左,阪神,1,2,2,2,2,0,1,100,カーブ,11.5,89.2,ボール,5,1,21,B15
22,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,近本 光司,左,阪神,1,2,2,2,3,1,1,129,シュート,76.5,30.8,ファウル,2,4,9,S3
23,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,近本 光司,左,阪神,1,2,2,2,4,1,2,120,スライダー,54.0,52.0,ファウル,3,3,13,S5
24,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,近本 光司,左,阪神,1,2,2,2,5,1,3,129,シュート,34.5,76.8,空三振,4,2,17,S7
25,2019-03-30,2019033002,阪神,ヤクルト,石川 雅規,左,ヤクルト,糸井 嘉男,左,阪神,1,2,3,2,1,0,0,103,カーブ,50.5,75.2,右本,4,3,18,S8
