,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,田中 和基,左,楽天,1,1,1,0,1,0,0,140,ストレート,49.5,52.0,ファウル,3,3,13,S5
1,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,田中 和基,左,楽天,1,1,1,0,2,0,1,140,ストレート,69.5,50.4,ファウル,3,4,14,S6
2,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,田中 和基,左,楽天,1,1,1,0,3,0,2,138,ストレート,15.5,76.4,ボール,4,1,16,B10
3,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,田中 和基,左,楽天,1,1,1,0,4,1,2,142,ストレート,57.0,63.6,右安,4,3,18,S8
4,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,茂木 栄五郎,左,楽天,1,1,2,1,1,0,0,139,ストレート,72.5,56.4,見逃し,3,4,14,S6
5,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,茂木 栄五郎,左,楽天,1,1,2,1,2,0,1,122,スライダー,54.5,85.6,ボール,5,3,23,B17
6,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,茂木 栄五郎,左,楽天,1,1,2,1,3,1,1,138,ストレート,55.5,75.6,ファウル,4,3,18,S8
7,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,茂木 栄五郎,左,楽天,1,1,2,1,4,1,2,138,ストレート,54.5,91.6,ボール,5,3,23,B17
8,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,茂木 栄五郎,左,楽天,1,1,2,1,5,2,2,135,シュート,46.5,73.2,二ゴロ,4,3,18,S8
9,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,浅村 栄斗,右,楽天,1,1,3,2,1,0,0,134,シュート,48.0,83.2,三ゴロ,5,3,23,B17
10,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,島内 宏明,左,楽天,1,1,4,3,1,0,0,122,スライダー,47.5,13.2,ボール,1,3,3,B3
11,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,島内 宏明,左,楽天,1,1,4,3,2,1,0,124,チェンジアップ,56.0,32.0,ファウル,2,3,8,S2
12,2019-03-31,2019033105,ロッテ,楽天,有吉 優樹,右,ロッテ,島内 宏明,左,楽天,1,1,4,3,3,1,1,141,ストレート,56.5,52.0,二ゴロ,3,3,13,S5
13,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,岡 大海,右,ロッテ,1,2,1,1,1,0,0,140,ストレート,73.5,26.0,中飛,2,4,9,S3
14,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,加藤 翔平,左,ロッテ,1,2,2,1,1,0,0,138,ストレート,16.5,16.0,ファウル,1,1,1,B1
15,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,加藤 翔平,左,ロッテ,1,2,2,1,2,0,1,116,カーブ,47.0,11.6,ボール,1,3,3,B3
16,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,加藤 翔平,左,ロッテ,1,2,2,1,3,1,1,130,チェンジアップ,15.5,90.4,ボール,5,1,21,B15
17,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,加藤 翔平,左,ロッテ,1,2,2,1,4,2,1,141,ストレート,27.0,71.2,左本,4,2,17,S7
18,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,中村 奨吾,右,ロッテ,1,2,3,1,1,0,0,138,ストレート,14.5,14.0,ボール,1,1,1,B1
19,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,中村 奨吾,右,ロッテ,1,2,3,1,2,1,0,123,スライダー,87.5,91.6,ボール,5,5,25,B19
20,2019-03-31,2019033105,ロッテ,楽天,藤平 尚真,右,楽天,中村 奨吾,右,ロッテ,1,2,3,1,3,2,0,140,ストレート,36.5,14.8,ボール,1,2,2,B2
