,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,平田 良介,右,中日,1,1,1,0,1,0,0,146,ストレート,67.5,45.2,ファウル,3,4,14,S6
1,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,平田 良介,右,中日,1,1,1,0,2,0,1,133,スライダー,55.0,26.0,ファウル,2,3,8,S2
2,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,平田 良介,右,中日,1,1,1,0,3,0,2,146,ストレート,16.5,14.4,死球,1,1,1,B1
3,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,京田 陽太,左,中日,1,1,2,1,1,0,0,148,ストレート,76.5,50.4,見逃し,3,4,14,S6
4,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,京田 陽太,左,中日,1,1,2,1,2,0,1,133,フォーク,29.5,88.4,ファウル,5,2,22,B16
5,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,京田 陽太,左,中日,1,1,2,1,3,0,2,132,フォーク,29.5,37.2,左飛,2,2,7,S1
6,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,大島 洋平,左,中日,1,1,3,3,1,0,0,144,ストレート,14.0,88.8,ボール,5,1,21,B15
7,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,大島 洋平,左,中日,1,1,3,3,2,1,0,145,ストレート,30.5,37.2,見逃し,2,2,7,S1
8,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,大島 洋平,左,中日,1,1,3,3,3,1,1,146,ストレート,16.0,53.6,ボール,3,1,11,B8
9,2019-03-31,2019033101,ＤｅＮＡ,中日,井納 翔一,右,ＤｅＮＡ,大島 洋平,左,中日,1,1,3,3,4,2,1,132,スライダー,30.5,76.0,一直,4,2,17,S7
10,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,楠本 泰史,左,ＤｅＮＡ,1,2,1,0,1,0,0,143,ストレート,33.0,46.0,ファウル,3,2,12,S4
11,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,楠本 泰史,左,ＤｅＮＡ,1,2,1,0,2,0,1,143,ストレート,55.0,35.6,見逃し,2,3,8,S2
12,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,楠本 泰史,左,ＤｅＮＡ,1,2,1,0,3,0,2,141,ストレート,51.0,64.8,中安,4,3,18,S8
13,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,1,0,0,142,ストレート,27.0,72.4,見逃し,4,2,17,S7
14,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,2,0,1,125,チェンジアップ,50.5,70.8,空振り,4,3,18,S8
15,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,3,0,2,141,ストレート,15.5,14.4,ボール,1,1,1,B1
16,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,4,1,2,112,カーブ,13.0,87.6,ボール,5,1,21,B15
17,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,5,2,2,132,スライダー,55.5,76.0,ファウル,4,3,18,S8
18,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,6,2,3,142,ストレート,16.5,7.6,ボール,1,1,1,B1
19,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,柴田 竜拓,左,ＤｅＮＡ,1,2,2,0,7,3,3,142,ストレート,71.5,85.2,四球,5,4,24,B18
20,2019-03-31,2019033101,ＤｅＮＡ,中日,柳 裕也,右,中日,宮崎 敏郎,右,ＤｅＮＡ,1,2,3,2,1,0,0,142,ストレート,51.5,57.2,遊併打,3,3,13,S5
