,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,牧原 大成,左,ソフトバンク,1,1,1,1,1,0,0,152,ストレート,52.0,14.8,中飛,1,3,3,B3
1,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,今宮 健太,右,ソフトバンク,1,1,2,2,1,0,0,150,ストレート,70.0,36.4,見逃し,2,4,9,S3
2,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,今宮 健太,右,ソフトバンク,1,1,2,2,2,0,1,122,カーブ,74.5,72.4,見逃し,4,4,19,S9
3,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,今宮 健太,右,ソフトバンク,1,1,2,2,3,0,2,137,カットボール,75.0,24.4,ファウル,2,4,9,S3
4,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,今宮 健太,右,ソフトバンク,1,1,2,2,4,0,3,151,ストレート,31.5,7.6,ボール,1,2,2,B2
5,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,今宮 健太,右,ソフトバンク,1,1,2,2,5,1,3,141,フォーク,49.5,36.0,投ゴロ,2,3,8,S2
6,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,柳田 悠岐,左,ソフトバンク,1,1,3,3,1,0,0,146,ストレート,9.0,7.2,ボール,1,1,1,B1
7,2019-04-03,2019040306,オリックス,ソフトバンク,山本 由伸,右,オリックス,柳田 悠岐,左,ソフトバンク,1,1,3,3,2,1,0,119,カーブ,50.0,36.0,一ゴロ,2,3,8,S2
8,2019-04-03,2019040306,オリックス,ソフトバンク,大竹 耕太郎,左,ソフトバンク,福田 周平,左,オリックス,1,2,1,0,1,0,0,135,ストレート,91.0,88.8,ボール,5,5,25,B19
9,2019-04-03,2019040306,オリックス,ソフトバンク,大竹 耕太郎,左,ソフトバンク,福田 周平,左,オリックス,1,2,1,0,2,1,0,134,ストレート,68.0,32.4,右安,2,4,9,S3
