,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,北條 史也,右,阪神,1,1,1,1,1,0,0,140,ストレート,71.5,36.4,見逃し,2,4,9,S3
1,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,北條 史也,右,阪神,1,1,1,1,2,0,1,136,ストレート,27.5,74.0,見逃し,4,2,17,S7
2,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,北條 史也,右,阪神,1,1,1,1,3,0,2,134,チェンジアップ,75.5,91.6,ボール,5,4,24,B18
3,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,北條 史也,右,阪神,1,1,1,1,4,1,2,124,スライダー,14.0,90.8,空三振,5,1,21,B15
4,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,近本 光司,左,阪神,1,1,2,1,1,0,0,137,ストレート,31.0,75.6,見逃し,4,2,17,S7
5,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,近本 光司,左,阪神,1,1,2,1,2,0,1,0,スライダー,34.5,66.0,左安,4,2,17,S7
6,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,糸井 嘉男,左,阪神,1,1,3,2,1,0,0,136,ストレート,26.5,46.0,見逃し,3,2,12,S4
7,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,糸井 嘉男,左,阪神,1,1,3,2,2,0,1,141,ストレート,50.5,25.2,中飛,2,3,8,S2
8,2019-04-03,2019040301,巨人,阪神,メルセデス,左,巨人,大山 悠輔,右,阪神,1,1,4,3,1,0,0,139,ストレート,13.0,34.0,ボール,2,1,6,B6
9,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,吉川 尚輝,左,巨人,1,2,1,1,1,0,0,143,シュート,34.0,35.6,見逃し,2,2,7,S1
10,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,吉川 尚輝,左,巨人,1,2,1,1,2,0,1,143,シュート,28.5,31.6,ファウル,2,2,7,S1
11,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,吉川 尚輝,左,巨人,1,2,1,1,3,0,2,144,シュート,36.0,66.0,ファウル,4,2,17,S7
12,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,吉川 尚輝,左,巨人,1,2,1,1,4,0,3,127,チェンジアップ,16.0,74.8,空三振,4,1,16,B10
13,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,坂本 勇人,右,巨人,1,2,2,1,1,0,0,140,ストレート,76.5,45.2,空振り,3,4,14,S6
14,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,坂本 勇人,右,巨人,1,2,2,1,2,0,1,144,ストレート,17.0,71.6,ボール,4,1,16,B10
15,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,坂本 勇人,右,巨人,1,2,2,1,3,1,1,144,ストレート,89.0,33.2,ボール,2,5,10,B7
16,2019-04-03,2019040301,巨人,阪神,青柳 晃洋,右,阪神,坂本 勇人,右,巨人,1,2,2,1,4,2,1,145,シュート,46.5,71.2,見逃し,4,3,18,S8
