,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,西川 遥輝,左,日本ハム,1,1,1,1,1,0,0,141,ストレート,74.5,33.2,見逃し,2,4,9,S3
1,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,西川 遥輝,左,日本ハム,1,1,1,1,2,0,1,128,カットボール,32.5,68.8,ファウル,4,2,17,S7
2,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,西川 遥輝,左,日本ハム,1,1,1,1,3,0,2,133,シュート,15.5,49.2,ボール,3,1,11,B8
3,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,西川 遥輝,左,日本ハム,1,1,1,1,4,1,2,133,フォーク,54.0,89.2,空三振,5,3,23,B17
4,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,大田 泰示,右,日本ハム,1,1,2,1,1,0,0,0,カットボール,35.0,35.6,三安,2,2,7,S1
5,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,近藤 健介,左,日本ハム,1,1,3,1,1,0,0,142,ストレート,67.0,48.8,見逃し,3,4,14,S6
6,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,近藤 健介,左,日本ハム,1,1,3,1,2,0,1,143,ストレート,88.5,71.6,ボール,4,5,20,B11
7,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,近藤 健介,左,日本ハム,1,1,3,1,3,1,1,128,スライダー,34.5,13.6,ボール,1,2,2,B2
8,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,近藤 健介,左,日本ハム,1,1,3,1,4,2,1,142,ストレート,12.0,14.0,ボール,1,1,1,B1
9,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,近藤 健介,左,日本ハム,1,1,3,1,5,3,1,139,シュート,15.0,31.6,四球,2,1,6,B6
10,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中田 翔,右,日本ハム,1,1,4,1,1,0,0,143,ストレート,71.0,52.0,見逃し,3,4,14,S6
11,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中田 翔,右,日本ハム,1,1,4,1,2,0,1,128,スライダー,13.5,12.4,ボール,1,1,1,B1
12,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中田 翔,右,日本ハム,1,1,4,1,3,1,1,131,フォーク,89.5,91.6,ボール,5,5,25,B19
13,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中田 翔,右,日本ハム,1,1,4,1,4,2,1,141,ストレート,89.0,69.2,ボール,4,5,20,B11
14,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中田 翔,右,日本ハム,1,1,4,1,5,3,1,132,フォーク,71.5,93.2,四球,5,4,24,B18
15,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,王 柏融,左,日本ハム,1,1,5,3,1,0,0,142,シュート,30.0,66.4,遊併打,4,2,17,S7
16,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,田中 和基,左,楽天,1,2,1,0,1,0,0,144,シュート,73.5,54.4,見逃し,3,4,14,S6
17,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,田中 和基,左,楽天,1,2,1,0,2,0,1,136,チェンジアップ,57.5,92.8,ボール,5,3,23,B17
18,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,田中 和基,左,楽天,1,2,1,0,3,1,1,147,シュート,91.5,51.2,ボール,3,5,15,B9
19,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,田中 和基,左,楽天,1,2,1,0,4,2,1,144,ストレート,76.5,94.0,ボール,5,4,24,B18
20,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,田中 和基,左,楽天,1,2,1,0,5,3,1,139,ストレート,76.0,64.4,見逃し,4,4,19,S9
21,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,田中 和基,左,楽天,1,2,1,0,6,3,2,148,シュート,90.5,87.6,四球,5,5,25,B19
22,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,1,0,0,146,シュート,51.0,15.6,ボール,1,3,3,B3
23,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,2,1,0,145,シュート,79.0,93.6,ボール,5,4,24,B18
24,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,3,2,0,145,シュート,69.5,17.2,ボール,1,4,4,B4
25,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,4,3,0,141,ストレート,54.5,56.4,見逃し,3,3,13,S5
26,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,5,3,1,142,ストレート,70.5,55.2,見逃し,3,4,14,S6
27,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,6,3,2,146,ストレート,88.5,72.4,ファウル,4,5,20,B11
28,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,茂木 栄五郎,左,楽天,1,2,2,2,7,3,3,147,ストレート,68.0,30.0,見三振,2,4,9,S3
29,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,浅村 栄斗,右,楽天,1,2,3,2,1,0,0,148,ストレート,51.5,54.4,中安,3,3,13,S5
30,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,島内 宏明,左,楽天,1,2,4,3,1,0,0,125,スライダー,89.0,93.2,ボール,5,5,25,B19
31,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,島内 宏明,左,楽天,1,2,4,3,2,1,0,146,シュート,31.0,52.4,見逃し,3,2,12,S4
32,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,島内 宏明,左,楽天,1,2,4,3,3,1,1,137,チェンジアップ,51.5,85.2,ボール,5,3,23,B17
33,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,島内 宏明,左,楽天,1,2,4,3,4,2,1,144,ストレート,72.0,51.6,右飛,3,4,14,S6
34,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,淺間 大基,左,日本ハム,2,1,1,1,1,0,0,142,シュート,33.0,68.4,見逃し,4,2,17,S7
35,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,淺間 大基,左,日本ハム,2,1,1,1,2,0,1,143,シュート,36.0,76.0,見逃し,4,2,17,S7
36,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,淺間 大基,左,日本ハム,2,1,1,1,3,0,2,141,ストレート,89.5,89.6,ボール,5,5,25,B19
37,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,淺間 大基,左,日本ハム,2,1,1,1,4,1,2,129,スライダー,33.0,32.4,空三振,2,2,7,S1
38,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,石井 一成,左,日本ハム,2,1,2,2,1,0,0,142,ストレート,68.0,53.2,見逃し,3,4,14,S6
39,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,石井 一成,左,日本ハム,2,1,2,2,2,0,1,112,カーブ,69.5,36.0,ファウル,2,4,9,S3
40,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,石井 一成,左,日本ハム,2,1,2,2,3,0,2,134,カットボール,51.5,68.4,二ゴロ,4,3,18,S8
41,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,石川 亮,右,日本ハム,2,1,3,2,1,0,0,112,カーブ,86.5,93.2,ボール,5,5,25,B19
42,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,石川 亮,右,日本ハム,2,1,3,2,2,1,0,132,スライダー,71.0,53.2,中安,3,4,14,S6
43,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中島 卓也,左,日本ハム,2,1,4,3,1,0,0,129,スライダー,47.0,35.2,見逃し,2,3,8,S2
44,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中島 卓也,左,日本ハム,2,1,4,3,2,0,1,142,ストレート,49.0,13.2,ボール,1,3,3,B3
45,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中島 卓也,左,日本ハム,2,1,4,3,3,1,1,140,ストレート,31.5,27.2,ファウル,2,2,7,S1
46,2019-04-03,2019040304,楽天,日本ハム,福井 優也,右,楽天,中島 卓也,左,日本ハム,2,1,4,3,4,1,2,127,スライダー,51.5,73.6,空三振,4,3,18,S8
47,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,ウィーラー,右,楽天,2,2,1,1,1,0,0,147,ストレート,89.5,86.4,ボール,5,5,25,B19
48,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,ウィーラー,右,楽天,2,2,1,1,2,1,0,142,ストレート,75.0,74.0,見逃し,4,4,19,S9
49,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,ウィーラー,右,楽天,2,2,1,1,3,1,1,145,ストレート,71.0,54.0,二ゴロ,3,4,14,S6
50,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,銀次,左,楽天,2,2,2,2,1,0,0,125,スライダー,70.0,70.0,見逃し,4,4,19,S9
51,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,銀次,左,楽天,2,2,2,2,2,0,1,134,スライダー,11.5,25.6,ボール,2,1,6,B6
52,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,銀次,左,楽天,2,2,2,2,3,1,1,147,ストレート,74.0,64.8,見逃し,4,4,19,S9
53,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,銀次,左,楽天,2,2,2,2,4,1,2,142,シュート,32.5,91.6,ボール,5,2,22,B16
54,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,銀次,左,楽天,2,2,2,2,5,2,2,146,シュート,91.5,89.2,ボール,5,5,25,B19
55,2019-04-03,2019040304,楽天,日本ハム,ロドリゲス,右,日本ハム,銀次,左,楽天,2,2,2,2,6,3,2,143,シュート,49.5,54.0,左飛,3,3,13,S5
