,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,荻野 貴司,右,ロッテ,1,1,1,1,1,0,0,127,スライダー,11.0,71.2,ボール,4,1,16,B10
1,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,荻野 貴司,右,ロッテ,1,1,1,1,2,1,0,132,ストレート,30.0,64.4,見逃し,4,2,17,S7
2,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,荻野 貴司,右,ロッテ,1,1,1,1,3,1,1,138,ストレート,72.0,42.4,空振り,3,4,14,S6
3,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,荻野 貴司,右,ロッテ,1,1,1,1,4,1,2,135,ストレート,30.0,44.8,空三振,3,2,12,S4
4,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,加藤 翔平,右,ロッテ,1,1,2,2,1,0,0,109,カーブ,68.0,71.6,ファウル,4,4,19,S9
5,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,加藤 翔平,右,ロッテ,1,1,2,2,2,0,1,137,ストレート,73.0,17.2,左飛,1,4,4,B4
6,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,中村 奨吾,右,ロッテ,1,1,3,2,1,0,0,107,カーブ,73.0,72.0,中安,4,4,19,S9
7,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,1,0,0,0,ストレート,90.5,63.2,ボール,4,5,20,B11
8,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,2,1,0,135,ストレート,75.0,50.8,見逃し,3,4,14,S6
9,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,3,1,1,124,チェンジアップ,91.5,68.8,ボール,4,5,20,B11
10,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,4,2,1,125,チェンジアップ,74.5,68.0,見逃し,4,4,19,S9
11,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,5,2,2,136,ストレート,52.5,71.6,ファウル,4,3,18,S8
12,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,6,2,3,135,ストレート,90.0,13.2,ボール,1,5,5,B5
13,2019-04-03,2019040305,西武,ロッテ,武隈 祥太,左,西武,井上 晴哉,右,ロッテ,1,1,4,3,7,3,3,122,チェンジアップ,54.5,63.6,中飛,4,3,18,S8
14,2019-04-03,2019040305,西武,ロッテ,ブランドン,左,ロッテ,金子 侑司,右,西武,1,2,1,0,1,0,0,138,シュート,46.0,8.4,ボール,1,3,3,B3
15,2019-04-03,2019040305,西武,ロッテ,ブランドン,左,ロッテ,金子 侑司,右,西武,1,2,1,0,2,1,0,144,シュート,51.5,53.2,遊失,3,3,13,S5
16,2019-04-03,2019040305,西武,ロッテ,ブランドン,左,ロッテ,源田 壮亮,左,西武,1,2,2,0,1,0,0,134,カットボール,51.5,9.6,ボール,1,3,3,B3
17,2019-04-03,2019040305,西武,ロッテ,ブランドン,左,ロッテ,源田 壮亮,左,西武,1,2,2,0,2,1,0,140,ストレート,72.0,45.2,見逃し,3,4,14,S6
18,2019-04-03,2019040305,西武,ロッテ,ブランドン,左,ロッテ,源田 壮亮,左,西武,1,2,2,0,3,1,1,122,スライダー,28.0,47.2,見逃し,3,2,12,S4
19,2019-04-03,2019040305,西武,ロッテ,ブランドン,左,ロッテ,源田 壮亮,左,西武,1,2,2,0,4,1,2,0,シュート,49.5,64.0,ファウル,4,3,18,S8
