,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,神里 和毅,左,ＤｅＮＡ,1,1,1,1,1,0,0,140,シュート,36.5,35.2,見逃し,2,2,7,S1
1,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,神里 和毅,左,ＤｅＮＡ,1,1,1,1,2,0,1,129,スライダー,34.0,75.2,見逃し,4,2,17,S7
2,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,神里 和毅,左,ＤｅＮＡ,1,1,1,1,3,0,2,135,フォーク,54.5,86.0,ボール,5,3,23,B17
3,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,神里 和毅,左,ＤｅＮＡ,1,1,1,1,4,1,2,0,スライダー,86.0,85.2,空三振,5,5,25,B19
4,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,楠本 泰史,左,ＤｅＮＡ,1,1,2,1,1,0,0,129,スライダー,86.5,56.0,右安,3,5,15,B9
5,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,ソト,右,ＤｅＮＡ,1,1,3,1,1,0,0,131,スライダー,86.5,64.8,ボール,4,5,20,B11
6,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,ソト,右,ＤｅＮＡ,1,1,3,1,2,1,0,138,ストレート,73.5,68.4,遊野選,4,4,19,S9
7,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,筒香 嘉智,左,ＤｅＮＡ,1,1,4,1,1,0,0,141,ストレート,53.0,54.0,右安,3,3,13,S5
8,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,2,1,0,0,140,ストレート,34.5,35.2,見逃し,2,2,7,S1
9,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,2,2,0,1,134,スライダー,51.5,34.0,中飛,2,3,8,S2
10,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,ロペス,右,ＤｅＮＡ,1,1,6,2,1,0,0,136,スライダー,54.5,56.0,左安,3,3,13,S5
11,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,伊藤 光,右,ＤｅＮＡ,1,1,7,3,1,0,0,130,スライダー,53.0,55.6,ファウル,3,3,13,S5
12,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,伊藤 光,右,ＤｅＮＡ,1,1,7,3,2,0,1,129,スライダー,74.0,35.6,見逃し,2,4,9,S3
13,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,寺原 隼人,右,ヤクルト,伊藤 光,右,ＤｅＮＡ,1,1,7,3,3,0,2,134,スライダー,33.0,31.6,投ゴロ,2,2,7,S1
14,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,大貫 晋一,右,ＤｅＮＡ,荒木 貴裕,右,ヤクルト,1,2,1,1,1,0,0,141,ストレート,73.5,35.6,見逃し,2,4,9,S3
15,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,大貫 晋一,右,ＤｅＮＡ,荒木 貴裕,右,ヤクルト,1,2,1,1,2,0,1,114,カーブ,89.0,86.0,ボール,5,5,25,B19
16,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,大貫 晋一,右,ＤｅＮＡ,荒木 貴裕,右,ヤクルト,1,2,1,1,3,1,1,140,シュート,30.5,33.2,二ゴロ,2,2,7,S1
17,2019-04-04,2019040402,ヤクルト,ＤｅＮＡ,大貫 晋一,右,ＤｅＮＡ,青木 宣親,左,ヤクルト,1,2,2,2,1,0,0,143,ストレート,26.0,32.8,見逃し,2,2,7,S1
