,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,田中 和基,左,楽天,1,1,1,1,1,0,0,119,スライダー,73.5,90.4,ボール,5,4,24,B18
1,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,田中 和基,左,楽天,1,1,1,1,2,1,0,146,ストレート,71.0,71.6,ファウル,4,4,19,S9
2,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,田中 和基,左,楽天,1,1,1,1,3,1,1,145,ストレート,73.0,57.2,見逃し,3,4,14,S6
3,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,田中 和基,左,楽天,1,1,1,1,4,1,2,143,フォーク,53.5,52.4,空三振,3,3,13,S5
4,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,茂木 栄五郎,左,楽天,1,1,2,2,1,0,0,148,ストレート,51.5,72.4,見逃し,4,3,18,S8
5,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,茂木 栄五郎,左,楽天,1,1,2,2,2,0,1,135,フォーク,35.0,34.8,二ゴロ,2,2,7,S1
6,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,浅村 栄斗,右,楽天,1,1,3,3,1,0,0,146,ストレート,55.0,52.8,右飛,3,3,13,S5
7,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,福田 周平,左,オリックス,1,2,1,1,1,0,0,138,ストレート,29.5,16.0,ボール,1,2,2,B2
8,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,福田 周平,左,オリックス,1,2,1,1,2,1,0,136,ストレート,11.5,13.6,ボール,1,1,1,B1
9,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,福田 周平,左,オリックス,1,2,1,1,3,2,0,137,ストレート,73.5,52.4,見逃し,3,4,14,S6
10,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,福田 周平,左,オリックス,1,2,1,1,4,2,1,138,ストレート,68.0,55.6,右飛,3,4,14,S6
11,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,西浦 颯大,左,オリックス,1,2,2,1,1,0,0,138,ストレート,29.5,34.0,見逃し,2,2,7,S1
12,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,西浦 颯大,左,オリックス,1,2,2,1,2,0,1,128,シンカー,71.5,90.4,ボール,5,4,24,B18
13,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,西浦 颯大,左,オリックス,1,2,2,1,3,1,1,111,カーブ,75.0,84.4,ボール,5,4,24,B18
14,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,西浦 颯大,左,オリックス,1,2,2,1,4,2,1,137,ストレート,91.0,10.8,ボール,1,5,5,B5
15,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,西浦 颯大,左,オリックス,1,2,2,1,5,3,1,136,ストレート,29.0,14.8,四球,1,2,2,B2
16,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,吉田 正尚,左,オリックス,1,2,3,2,1,0,0,138,ストレート,30.5,10.4,ボール,1,2,2,B2
17,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,吉田 正尚,左,オリックス,1,2,3,2,2,1,0,140,ストレート,53.0,51.6,二ゴロ,3,3,13,S5
18,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,メネセス,右,オリックス,1,2,4,3,1,0,0,138,ストレート,71.0,30.0,ファウル,2,4,9,S3
19,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,メネセス,右,オリックス,1,2,4,3,2,0,1,140,ストレート,29.5,11.2,ファウル,1,2,2,B2
20,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,メネセス,右,オリックス,1,2,4,3,3,0,2,125,スライダー,54.5,54.0,ファウル,3,3,13,S5
21,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,メネセス,右,オリックス,1,2,4,3,4,0,3,142,ストレート,90.5,31.2,ボール,2,5,10,B7
22,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,メネセス,右,オリックス,1,2,4,3,5,1,3,139,ストレート,12.0,48.4,ボール,3,1,11,B8
23,2019-04-07,2019040705,オリックス,楽天,藤平 尚真,右,楽天,メネセス,右,オリックス,1,2,4,3,6,2,3,122,スライダー,52.0,46.4,遊ゴロ,3,3,13,S5
24,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,島内 宏明,左,楽天,2,1,1,0,1,0,0,139,ストレート,30.0,12.8,ボール,1,2,2,B2
25,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,島内 宏明,左,楽天,2,1,1,0,2,1,0,145,ストレート,51.5,51.6,右安,3,3,13,S5
26,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,ウィーラー,右,楽天,2,1,2,0,1,0,0,141,ストレート,30.0,9.6,ボール,1,2,2,B2
27,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,ウィーラー,右,楽天,2,1,2,0,2,1,0,142,ストレート,11.5,49.2,ボール,3,1,11,B8
28,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,ウィーラー,右,楽天,2,1,2,0,3,2,0,142,ストレート,51.5,30.0,見逃し,2,3,8,S2
29,2019-04-07,2019040705,オリックス,楽天,榊原 翼,右,オリックス,ウィーラー,右,楽天,2,1,2,0,4,2,1,124,スライダー,91.5,90.0,ボール,5,5,25,B19
