,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,吉川 尚輝,左,巨人,1,1,1,1,1,0,0,0,ストレート,71.0,29.6,ファウル,2,4,9,S3
1,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,吉川 尚輝,左,巨人,1,1,1,1,2,0,1,151,ストレート,51.5,11.2,ボール,1,3,3,B3
2,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,吉川 尚輝,左,巨人,1,1,1,1,3,1,1,136,カットボール,49.5,50.0,空振り,3,3,13,S5
3,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,吉川 尚輝,左,巨人,1,1,1,1,4,1,2,151,ストレート,27.5,84.8,ボール,5,2,22,B16
4,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,吉川 尚輝,左,巨人,1,1,1,1,5,2,2,135,スライダー,52.5,28.0,左飛,2,3,8,S2
5,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,1,0,0,148,ストレート,86.5,70.8,ボール,4,5,20,B11
6,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,2,1,0,138,カットボール,74.0,26.0,見逃し,2,4,9,S3
7,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,3,1,1,150,ストレート,15.5,15.6,ボール,1,1,1,B1
8,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,4,2,1,138,チェンジアップ,91.0,88.4,ボール,5,5,25,B19
9,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,5,3,1,153,ストレート,48.0,15.6,空振り,1,3,3,B3
10,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,6,3,2,154,ストレート,55.5,15.6,ファウル,1,3,3,B3
11,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,7,3,3,154,ストレート,68.5,68.0,ファウル,4,4,19,S9
12,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,坂本 勇人,右,巨人,1,1,2,2,8,3,4,153,ストレート,33.5,49.6,右飛,3,2,12,S4
13,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,丸 佳浩,左,巨人,1,1,3,2,1,0,0,153,ストレート,74.5,33.6,空振り,2,4,9,S3
14,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,丸 佳浩,左,巨人,1,1,3,2,2,0,1,153,ストレート,71.5,90.4,ボール,5,4,24,B18
15,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,丸 佳浩,左,巨人,1,1,3,2,3,1,1,152,ストレート,50.0,68.4,左安,4,3,18,S8
16,2019-04-10,2019041001,中日,巨人,ロメロ,左,中日,岡本 和真,右,巨人,1,1,4,2,1,0,0,153,ストレート,33.5,49.2,ファウル,3,2,12,S4
