,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,田中 和基,右,楽天,1,1,1,0,1,0,0,140,ストレート,16.0,76.0,ボール,4,1,16,B10
1,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,田中 和基,右,楽天,1,1,1,0,2,1,0,140,ストレート,16.0,68.8,ボール,4,1,16,B10
2,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,田中 和基,右,楽天,1,1,1,0,3,2,0,137,ストレート,35.0,65.2,見逃し,4,2,17,S7
3,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,田中 和基,右,楽天,1,1,1,0,4,2,1,121,チェンジアップ,87.0,25.2,ボール,2,5,10,B7
4,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,田中 和基,右,楽天,1,1,1,0,5,3,1,139,ストレート,16.5,56.0,四球,3,1,11,B8
5,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,茂木 栄五郎,左,楽天,1,1,2,1,1,0,0,128,スライダー,49.5,53.6,ファウル,3,3,13,S5
6,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,茂木 栄五郎,左,楽天,1,1,2,1,2,0,1,138,ストレート,57.0,54.8,ファウル,3,3,13,S5
7,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,茂木 栄五郎,左,楽天,1,1,2,1,3,0,2,137,ストレート,15.5,55.6,ボール,3,1,11,B8
8,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,茂木 栄五郎,左,楽天,1,1,2,1,4,1,2,131,スライダー,16.5,48.8,ボール,3,1,11,B8
9,2019-04-10,2019041004,西武,楽天,武隈 祥太,左,西武,茂木 栄五郎,左,楽天,1,1,2,1,5,2,2,123,スライダー,89.0,54.0,ボール,3,5,15,B9
