,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,太田 賢吾,左,ヤクルト,1,1,1,0,1,0,0,145,ストレート,35.5,16.8,ボール,1,2,2,B2
1,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,太田 賢吾,左,ヤクルト,1,1,1,0,2,1,0,145,ストレート,35.5,56.8,ファウル,3,2,12,S4
2,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,太田 賢吾,左,ヤクルト,1,1,1,0,3,1,1,148,ストレート,16.5,75.2,ボール,4,1,16,B10
3,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,太田 賢吾,左,ヤクルト,1,1,1,0,4,2,1,143,ストレート,76.5,76.8,見逃し,4,4,19,S9
4,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,太田 賢吾,左,ヤクルト,1,1,1,0,5,2,2,147,ストレート,89.5,87.2,ボール,5,5,25,B19
5,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,太田 賢吾,左,ヤクルト,1,1,1,0,6,3,2,125,スライダー,27.0,16.0,四球,1,2,2,B2
6,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,青木 宣親,左,ヤクルト,1,1,2,1,1,0,0,128,スライダー,35.5,76.8,見逃し,4,2,17,S7
7,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,青木 宣親,左,ヤクルト,1,1,2,1,2,0,1,145,ストレート,15.0,85.6,ボール,5,1,21,B15
8,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,青木 宣親,左,ヤクルト,1,1,2,1,3,1,1,145,ストレート,35.5,85.2,ボール,5,2,22,B16
9,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,青木 宣親,左,ヤクルト,1,1,2,1,4,2,1,126,スライダー,48.5,63.6,ファウル,4,3,18,S8
10,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,青木 宣親,左,ヤクルト,1,1,2,1,5,2,2,142,ストレート,51.5,74.8,右安,4,3,18,S8
11,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,山田 哲人,右,ヤクルト,1,1,3,1,1,0,0,148,ストレート,16.5,77.2,ボール,4,1,16,B10
12,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,山田 哲人,右,ヤクルト,1,1,3,1,2,1,0,121,スライダー,15.5,55.6,ボール,3,1,11,B8
13,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,山田 哲人,右,ヤクルト,1,1,3,1,3,2,0,144,ストレート,76.5,56.0,ファウル,3,4,14,S6
14,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,山田 哲人,右,ヤクルト,1,1,3,1,4,2,1,148,ストレート,16.0,69.6,ボール,4,1,16,B10
15,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,山田 哲人,右,ヤクルト,1,1,3,1,5,3,1,128,スライダー,36.0,75.6,見逃し,4,2,17,S7
16,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,山田 哲人,右,ヤクルト,1,1,3,1,6,3,2,146,ストレート,14.0,17.2,四球,1,1,1,B1
17,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,バレンティン,右,ヤクルト,1,1,4,1,1,0,0,146,ストレート,35.5,35.2,ファウル,2,2,7,S1
18,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,バレンティン,右,ヤクルト,1,1,4,1,2,0,1,146,ストレート,51.5,75.2,右安,4,3,18,S8
19,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,雄平,左,ヤクルト,1,1,5,2,1,0,0,142,ストレート,15.0,56.4,ボール,3,1,11,B8
20,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,雄平,左,ヤクルト,1,1,5,2,2,1,0,120,フォーク,75.0,84.4,ボール,5,4,24,B18
21,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,雄平,左,ヤクルト,1,1,5,2,3,2,0,124,スライダー,36.5,57.2,ファウル,3,2,12,S4
22,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,雄平,左,ヤクルト,1,1,5,2,4,2,1,143,ストレート,54.5,53.2,左犠飛,3,3,13,S5
23,2019-04-11,2019041102,広島,ヤクルト,岡田 明丈,右,広島,西浦 直亨,右,ヤクルト,1,1,6,3,1,0,0,143,ストレート,54.0,54.8,左飛,3,3,13,S5
24,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,田中 広輔,左,広島,1,2,1,1,1,0,0,142,ストレート,74.0,85.6,ボール,5,4,24,B18
25,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,田中 広輔,左,広島,1,2,1,1,2,1,0,140,ストレート,85.5,85.6,ボール,5,5,25,B19
26,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,田中 広輔,左,広島,1,2,1,1,3,2,0,142,シュート,55.0,36.4,三飛,2,3,8,S2
27,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,菊池 涼介,右,広島,1,2,2,2,1,0,0,118,カーブ,85.5,85.6,ボール,5,5,25,B19
28,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,菊池 涼介,右,広島,1,2,2,2,2,1,0,141,ストレート,94.5,84.8,ボール,5,5,25,B19
29,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,菊池 涼介,右,広島,1,2,2,2,3,2,0,140,ストレート,87.5,77.2,ボール,4,5,20,B11
30,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,菊池 涼介,右,広島,1,2,2,2,4,3,0,129,スライダー,76.0,55.6,見逃し,3,4,14,S6
31,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,菊池 涼介,右,広島,1,2,2,2,5,3,1,129,スライダー,55.0,35.6,見逃し,2,3,8,S2
32,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,菊池 涼介,右,広島,1,2,2,2,6,3,2,131,スライダー,51.5,75.2,三ゴロ,4,3,18,S8
33,2019-04-11,2019041102,広島,ヤクルト,寺原 隼人,右,ヤクルト,野間 峻祥,左,広島,1,2,3,3,1,0,0,146,ストレート,76.0,85.2,ボール,5,4,24,B18
