,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,野間 峻祥,左,広島,1,1,1,1,1,0,0,148,ストレート,51.0,29.2,見逃し,2,3,8,S2
1,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,野間 峻祥,左,広島,1,1,1,1,2,0,1,149,ストレート,23.0,17.2,空振り,1,2,2,B2
2,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,野間 峻祥,左,広島,1,1,1,1,3,0,2,140,スライダー,9.5,92.8,ボール,5,1,21,B15
3,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,野間 峻祥,左,広島,1,1,1,1,4,1,2,149,ストレート,56.0,71.6,ファウル,4,3,18,S8
4,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,野間 峻祥,左,広島,1,1,1,1,5,1,3,150,ストレート,28.5,47.6,ファウル,3,2,12,S4
5,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,野間 峻祥,左,広島,1,1,1,1,6,1,4,137,スライダー,16.5,92.4,空三振,5,1,21,B15
6,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,菊池 涼介,右,広島,1,1,2,2,1,0,0,150,ストレート,12.5,86.0,ボール,5,1,21,B15
7,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,菊池 涼介,右,広島,1,1,2,2,2,1,0,151,ストレート,53.0,89.6,ボール,5,3,23,B17
8,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,菊池 涼介,右,広島,1,1,2,2,3,2,0,149,ストレート,18.5,33.2,空振り,2,1,6,B6
9,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,菊池 涼介,右,広島,1,1,2,2,4,2,1,150,ストレート,68.0,51.2,ファウル,3,4,14,S6
10,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,菊池 涼介,右,広島,1,1,2,2,5,2,2,136,チェンジアップ,76.5,92.8,ボール,5,4,24,B18
11,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,菊池 涼介,右,広島,1,1,2,2,6,3,2,150,ストレート,51.5,73.2,右飛,4,3,18,S8
12,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,バティスタ,右,広島,1,1,3,3,1,0,0,151,ストレート,26.0,43.2,見逃し,3,2,12,S4
13,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,バティスタ,右,広島,1,1,3,3,2,0,1,150,ストレート,54.5,17.6,空振り,1,3,3,B3
14,2019-04-12,2019041202,ＤｅＮＡ,広島,今永 昇太,左,ＤｅＮＡ,バティスタ,右,広島,1,1,3,3,3,0,2,150,ストレート,24.0,23.6,ファウル,2,2,7,S1
