,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,岡 大海,右,ロッテ,1,1,1,1,1,0,0,149,ストレート,73.0,10.8,ボール,1,4,4,B4
1,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,岡 大海,右,ロッテ,1,1,1,1,2,1,0,143,スライダー,69.5,87.2,空振り,5,4,24,B18
2,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,岡 大海,右,ロッテ,1,1,1,1,3,1,1,141,スライダー,87.0,86.8,空振り,5,5,25,B19
3,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,岡 大海,右,ロッテ,1,1,1,1,4,1,2,150,ストレート,71.5,44.4,右飛,3,4,14,S6
4,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,加藤 翔平,左,ロッテ,1,1,2,2,1,0,0,126,カーブ,27.5,54.8,見逃し,3,2,12,S4
5,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,加藤 翔平,左,ロッテ,1,1,2,2,2,0,1,135,フォーク,10.5,55.6,ボール,3,1,11,B8
6,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,加藤 翔平,左,ロッテ,1,1,2,2,3,1,1,149,ストレート,26.0,7.2,ボール,1,2,2,B2
7,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,加藤 翔平,左,ロッテ,1,1,2,2,4,2,1,148,ストレート,52.0,37.2,ファウル,2,3,8,S2
8,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,加藤 翔平,左,ロッテ,1,1,2,2,5,2,2,149,ストレート,36.0,35.6,二ゴロ,2,2,7,S1
9,2019-04-13,2019041304,日本ハム,ロッテ,バーベイト,右,日本ハム,中村 奨吾,右,ロッテ,1,1,3,3,1,0,0,142,フォーク,46.5,68.8,見逃し,4,3,18,S8
