,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,牧原 大成,左,ソフトバンク,1,1,1,1,1,0,0,147,ストレート,32.0,66.4,遊ゴロ,4,2,17,S7
1,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,今宮 健太,右,ソフトバンク,1,1,2,2,1,0,0,147,ストレート,34.0,85.2,ボール,5,2,22,B16
2,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,今宮 健太,右,ソフトバンク,1,1,2,2,2,1,0,132,スライダー,90.5,85.2,ボール,5,5,25,B19
3,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,今宮 健太,右,ソフトバンク,1,1,2,2,3,2,0,147,ストレート,91.5,91.2,ボール,5,5,25,B19
4,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,今宮 健太,右,ソフトバンク,1,1,2,2,4,3,0,138,チェンジアップ,34.0,67.6,見逃し,4,2,17,S7
5,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,今宮 健太,右,ソフトバンク,1,1,2,2,5,3,1,148,ストレート,53.0,13.2,左飛,1,3,3,B3
6,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,内川 聖一,右,ソフトバンク,1,1,3,3,1,0,0,145,ストレート,91.5,27.6,一直,2,5,10,B7
7,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,田中 和基,左,楽天,1,2,1,1,1,0,0,137,ストレート,88.5,86.8,ボール,5,5,25,B19
8,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,田中 和基,左,楽天,1,2,1,1,2,1,0,137,ストレート,49.5,50.0,空振り,3,3,13,S5
9,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,田中 和基,左,楽天,1,2,1,1,3,1,1,136,ストレート,53.5,28.8,ファウル,2,3,8,S2
10,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,田中 和基,左,楽天,1,2,1,1,4,1,2,137,ストレート,50.5,69.2,遊ゴロ,4,3,18,S8
11,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,茂木 栄五郎,左,楽天,1,2,2,2,1,0,0,138,ストレート,34.0,86.8,ボール,5,2,22,B16
12,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,茂木 栄五郎,左,楽天,1,2,2,2,2,1,0,138,ストレート,55.0,48.0,二ゴロ,3,3,13,S5
13,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,浅村 栄斗,右,楽天,1,2,3,2,1,0,0,138,ストレート,72.0,12.8,ボール,1,4,4,B4
14,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,浅村 栄斗,右,楽天,1,2,3,2,2,1,0,139,ストレート,15.5,49.2,ボール,3,1,11,B8
15,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,浅村 栄斗,右,楽天,1,2,3,2,3,2,0,137,ストレート,90.0,85.2,ボール,5,5,25,B19
16,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,浅村 栄斗,右,楽天,1,2,3,2,4,3,0,138,ストレート,14.5,65.6,四球,4,1,16,B10
17,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,島内 宏明,左,楽天,1,2,4,3,1,0,0,134,ストレート,36.0,65.2,見逃し,4,2,17,S7
18,2019-04-14,2019041405,楽天,ソフトバンク,高橋 礼,右,ソフトバンク,島内 宏明,左,楽天,1,2,4,3,2,0,1,120,シンカー,31.5,86.0,投ゴロ,5,2,22,B16
19,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,デスパイネ,右,ソフトバンク,2,1,1,1,1,0,0,138,ストレート,52.0,13.2,空振り,1,3,3,B3
20,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,デスパイネ,右,ソフトバンク,2,1,1,1,2,0,1,130,スライダー,89.5,87.2,ボール,5,5,25,B19
21,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,デスパイネ,右,ソフトバンク,2,1,1,1,3,1,1,143,ストレート,35.0,66.4,見逃し,4,2,17,S7
22,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,デスパイネ,右,ソフトバンク,2,1,1,1,4,1,2,129,スライダー,27.5,96.8,ボール,5,2,22,B16
23,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,デスパイネ,右,ソフトバンク,2,1,1,1,5,2,2,133,スライダー,35.5,46.4,見三振,3,2,12,S4
24,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,福田 秀平,左,ソフトバンク,2,1,2,2,1,0,0,146,ストレート,32.0,67.6,見逃し,4,2,17,S7
25,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,福田 秀平,左,ソフトバンク,2,1,2,2,2,0,1,129,スライダー,12.0,25.2,ボール,2,1,6,B6
26,2019-04-14,2019041405,楽天,ソフトバンク,近藤 弘樹,右,楽天,福田 秀平,左,ソフトバンク,2,1,2,2,3,1,1,144,ストレート,33.5,13.6,ファウル,1,2,2,B2
