,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,京田 陽太,左,中日,1,1,1,1,1,0,0,0,ストレート,27.5,88.8,ボール,5,2,22,B16
1,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,京田 陽太,左,中日,1,1,1,1,2,1,0,0,シュート,14.5,72.4,ファウル,4,1,16,B10
2,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,京田 陽太,左,中日,1,1,1,1,3,1,1,0,シュート,30.5,55.6,二ゴロ,3,2,12,S4
3,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,遠藤 一星,左,中日,1,1,2,1,1,0,0,130,シュート,10.5,75.6,ボール,4,1,16,B10
4,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,遠藤 一星,左,中日,1,1,2,1,2,1,0,0,シュート,29.0,85.2,ボール,5,2,22,B16
5,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,遠藤 一星,左,中日,1,1,2,1,3,2,0,0,シュート,36.5,30.8,ファウル,2,2,7,S1
6,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,遠藤 一星,左,中日,1,1,2,1,4,2,1,137,シュート,28.5,55.6,遊安,3,2,12,S4
7,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,大島 洋平,左,中日,1,1,3,2,1,0,0,0,シュート,31.5,73.2,一飛,4,2,17,S7
8,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,ビシエド,右,中日,1,1,4,2,1,0,0,136,シュート,16.0,27.6,ボール,2,1,6,B6
9,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,ビシエド,右,中日,1,1,4,2,2,1,0,134,シュート,51.0,52.0,左安,3,3,13,S5
10,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,アルモンテ,左,中日,1,1,5,3,1,0,0,127,チェンジアップ,54.0,90.0,ファウル,5,3,23,B17
11,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,アルモンテ,左,中日,1,1,5,3,2,0,1,0,ストレート,89.5,26.8,ボール,2,5,10,B7
12,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,アルモンテ,左,中日,1,1,5,3,3,1,1,127,スライダー,26.5,64.4,見逃し,4,2,17,S7
13,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,アルモンテ,左,中日,1,1,5,3,4,1,2,139,ストレート,86.5,44.8,ボール,3,5,15,B9
14,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,アルモンテ,左,中日,1,1,5,3,5,2,2,134,シュート,27.5,76.8,見三振,4,2,17,S7
15,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,1,0,0,136,シュート,48.0,46.4,ファウル,3,3,13,S5
16,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,2,0,1,124,スライダー,34.5,49.6,ファウル,3,2,12,S4
17,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,3,0,2,134,フォーク,48.0,93.2,ボール,5,3,23,B17
18,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,4,1,2,134,フォーク,36.5,93.2,ボール,5,2,22,B16
19,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,5,2,2,138,ストレート,27.0,44.4,ファウル,3,2,12,S4
20,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,6,2,3,120,スライダー,15.5,57.2,ファウル,3,1,11,B8
21,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,近本 光司,左,阪神,1,2,1,1,7,2,4,137,シュート,28.0,56.0,投ゴロ,3,2,12,S4
22,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸原 健斗,左,阪神,1,2,2,2,1,0,0,129,シュート,68.5,94.0,ボール,5,4,24,B18
23,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸原 健斗,左,阪神,1,2,2,2,2,1,0,135,ストレート,75.5,16.8,ボール,1,4,4,B4
24,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸原 健斗,左,阪神,1,2,2,2,3,2,0,137,ストレート,35.0,25.2,見逃し,2,2,7,S1
25,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸原 健斗,左,阪神,1,2,2,2,4,2,1,137,ストレート,73.5,26.0,一ゴロ,2,4,9,S3
26,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸井 嘉男,左,阪神,1,2,3,2,1,0,0,135,ストレート,14.5,27.2,ボール,2,1,6,B6
27,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸井 嘉男,左,阪神,1,2,3,2,2,1,0,137,シュート,27.5,57.6,見逃し,3,2,12,S4
28,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,糸井 嘉男,左,阪神,1,2,3,2,3,1,1,127,スライダー,32.0,76.4,右安,4,2,17,S7
29,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,大山 悠輔,右,阪神,1,2,4,2,1,0,0,126,ストレート,66.5,45.6,見逃し,3,4,14,S6
30,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,大山 悠輔,右,阪神,1,2,4,2,2,0,1,131,ストレート,51.5,51.2,左安,3,3,13,S5
31,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,福留 孝介,左,阪神,1,2,5,3,1,0,0,116,チェンジアップ,25.0,91.6,空振り,5,2,22,B16
32,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,福留 孝介,左,阪神,1,2,5,3,2,0,1,140,ストレート,94.0,77.6,ボール,4,5,20,B11
33,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,福留 孝介,左,阪神,1,2,5,3,3,1,1,131,フォーク,34.0,92.0,ボール,5,2,22,B16
34,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,福留 孝介,左,阪神,1,2,5,3,4,2,1,130,スライダー,94.0,72.8,ボール,4,5,20,B11
35,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,福留 孝介,左,阪神,1,2,5,3,5,3,1,138,ストレート,27.0,50.8,見逃し,3,2,12,S4
36,2019-04-14,2019041403,阪神,中日,吉見 一起,右,中日,福留 孝介,左,阪神,1,2,5,3,6,3,2,131,フォーク,53.5,93.2,空三振,5,3,23,B17
37,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,高橋 周平,左,中日,2,1,1,0,1,0,0,124,スライダー,26.5,36.4,見逃し,2,2,7,S1
38,2019-04-14,2019041403,阪神,中日,西 勇輝,右,阪神,高橋 周平,左,中日,2,1,1,0,2,0,1,125,チェンジアップ,26.5,86.4,右安,5,2,22,B16
