,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,牧原 大成,左,ソフトバンク,1,1,1,0,1,0,0,142,ストレート,27.5,51.6,見逃し,3,2,12,S4
1,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,牧原 大成,左,ソフトバンク,1,1,1,0,2,0,1,143,ストレート,29.0,12.8,ファウル,1,2,2,B2
2,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,牧原 大成,左,ソフトバンク,1,1,1,0,3,0,2,127,チェンジアップ,13.5,56.4,ファウル,3,1,11,B8
3,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,牧原 大成,左,ソフトバンク,1,1,1,0,4,0,3,131,フォーク,54.5,85.6,右安,5,3,23,B17
4,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,今宮 健太,右,ソフトバンク,1,1,2,2,1,0,0,141,ストレート,26.5,32.8,見逃し,2,2,7,S1
5,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,今宮 健太,右,ソフトバンク,1,1,2,2,2,0,1,139,ストレート,89.0,55.6,ボール,3,5,15,B9
6,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,今宮 健太,右,ソフトバンク,1,1,2,2,3,1,1,123,スライダー,92.5,87.6,ボール,5,5,25,B19
7,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,今宮 健太,右,ソフトバンク,1,1,2,2,4,2,1,0,ストレート,89.5,12.4,ボール,1,5,5,B5
8,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,今宮 健太,右,ソフトバンク,1,1,2,2,5,3,1,140,ストレート,76.5,72.0,ファウル,4,4,19,S9
9,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,今宮 健太,右,ソフトバンク,1,1,2,2,6,3,2,142,ストレート,36.0,54.4,左飛,3,2,12,S4
10,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,内川 聖一,右,ソフトバンク,1,1,3,3,1,0,0,127,スライダー,75.5,66.4,見逃し,4,4,19,S9
11,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,内川 聖一,右,ソフトバンク,1,1,3,3,2,0,1,143,ストレート,89.0,66.0,ボール,4,5,20,B11
12,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,内川 聖一,右,ソフトバンク,1,1,3,3,3,1,1,142,ストレート,75.5,36.0,ファウル,2,4,9,S3
13,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,内川 聖一,右,ソフトバンク,1,1,3,3,4,1,2,146,ストレート,67.0,52.0,ファウル,3,4,14,S6
14,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,内川 聖一,右,ソフトバンク,1,1,3,3,5,1,3,140,ストレート,67.5,70.8,中飛,4,4,19,S9
15,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,荻野 貴司,右,ロッテ,1,2,1,1,1,0,0,141,ストレート,29.0,72.0,見逃し,4,2,17,S7
16,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,荻野 貴司,右,ロッテ,1,2,1,1,2,0,1,112,カーブ,31.5,16.0,ボール,1,2,2,B2
17,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,荻野 貴司,右,ロッテ,1,2,1,1,3,1,1,134,カットボール,71.5,67.2,左飛,4,4,19,S9
18,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,加藤 翔平,左,ロッテ,1,2,2,2,1,0,0,138,シンカー,30.5,53.2,空振り,3,2,12,S4
19,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,加藤 翔平,左,ロッテ,1,2,2,2,2,0,1,140,ストレート,31.5,32.0,空振り,2,2,7,S1
20,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,加藤 翔平,左,ロッテ,1,2,2,2,3,0,2,141,ストレート,16.5,74.8,ファウル,4,1,16,B10
21,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,加藤 翔平,左,ロッテ,1,2,2,2,4,0,3,139,シンカー,16.5,86.0,空三振,5,1,21,B15
22,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,中村 奨吾,右,ロッテ,1,2,3,3,1,0,0,127,スライダー,76.5,52.4,見逃し,3,4,14,S6
23,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,中村 奨吾,右,ロッテ,1,2,3,3,2,0,1,143,ストレート,90.5,35.2,ボール,2,5,10,B7
24,2019-04-16,2019041605,ロッテ,ソフトバンク,東浜 巨,右,ソフトバンク,中村 奨吾,右,ロッテ,1,2,3,3,3,1,1,142,ストレート,35.0,51.6,遊飛,3,2,12,S4
25,2019-04-16,2019041605,ロッテ,ソフトバンク,涌井 秀章,右,ロッテ,デスパイネ,右,ソフトバンク,2,1,1,1,1,0,0,142,ストレート,69.0,49.2,ファウル,3,4,14,S6
