,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,神里 和毅,左,ＤｅＮＡ,1,1,1,1,1,0,0,143,ストレート,47.5,28.4,見逃し,2,3,8,S2
1,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,神里 和毅,左,ＤｅＮＡ,1,1,1,1,2,0,1,129,スライダー,29.5,67.6,空振り,4,2,17,S7
2,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,神里 和毅,左,ＤｅＮＡ,1,1,1,1,3,0,2,134,スライダー,13.0,57.2,ボール,3,1,11,B8
3,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,神里 和毅,左,ＤｅＮＡ,1,1,1,1,4,1,2,139,スライダー,88.5,54.8,ボール,3,5,15,B9
4,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,神里 和毅,左,ＤｅＮＡ,1,1,1,1,5,2,2,148,ストレート,67.5,24.0,空三振,2,4,9,S3
5,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,楠本 泰史,左,ＤｅＮＡ,1,1,2,2,1,0,0,146,ストレート,28.0,44.4,見逃し,3,2,12,S4
6,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,楠本 泰史,左,ＤｅＮＡ,1,1,2,2,2,0,1,131,スライダー,35.0,31.6,ファウル,2,2,7,S1
7,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,楠本 泰史,左,ＤｅＮＡ,1,1,2,2,3,0,2,132,スライダー,74.0,12.4,ファウル,1,4,4,B4
8,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,楠本 泰史,左,ＤｅＮＡ,1,1,2,2,4,0,3,136,スライダー,33.0,64.0,ファウル,4,2,17,S7
9,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,楠本 泰史,左,ＤｅＮＡ,1,1,2,2,5,0,4,147,ストレート,26.5,12.8,ボール,1,2,2,B2
10,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,楠本 泰史,左,ＤｅＮＡ,1,1,2,2,6,1,4,134,スライダー,29.0,55.6,二ゴロ,3,2,12,S4
11,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,ソト,右,ＤｅＮＡ,1,1,3,3,1,0,0,138,シュート,91.5,64.4,ボール,4,5,20,B11
12,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,ソト,右,ＤｅＮＡ,1,1,3,3,2,1,0,147,ストレート,31.5,50.4,見逃し,3,2,12,S4
13,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,ソト,右,ＤｅＮＡ,1,1,3,3,3,1,1,132,スライダー,14.5,57.2,ボール,3,1,11,B8
14,2019-04-16,2019041603,中日,ＤｅＮＡ,大野 雄大,左,中日,ソト,右,ＤｅＮＡ,1,1,3,3,4,2,1,0,シュート,76.5,57.2,投ゴロ,3,4,14,S6
15,2019-04-16,2019041603,中日,ＤｅＮＡ,上茶谷 大河,右,ＤｅＮＡ,平田 良介,右,中日,1,2,1,1,1,0,0,141,ストレート,76.0,56.4,見逃し,3,4,14,S6
16,2019-04-16,2019041603,中日,ＤｅＮＡ,上茶谷 大河,右,ＤｅＮＡ,平田 良介,右,中日,1,2,1,1,2,0,1,121,スライダー,55.0,56.8,三ゴロ,3,3,13,S5
17,2019-04-16,2019041603,中日,ＤｅＮＡ,上茶谷 大河,右,ＤｅＮＡ,京田 陽太,左,中日,1,2,2,2,1,0,0,138,カットボール,71.0,86.4,ボール,5,4,24,B18
18,2019-04-16,2019041603,中日,ＤｅＮＡ,上茶谷 大河,右,ＤｅＮＡ,京田 陽太,左,中日,1,2,2,2,2,1,0,122,スライダー,29.5,55.6,見逃し,3,2,12,S4
19,2019-04-16,2019041603,中日,ＤｅＮＡ,上茶谷 大河,右,ＤｅＮＡ,京田 陽太,左,中日,1,2,2,2,3,1,1,122,スライダー,48.0,63.2,一ゴロ,4,3,18,S8
